trip_id,start_time,end_time,headway_secs,exact_times
t41,14:00:00,15:00:00,720,0
t43,14:00:00,15:00:00,1200,0
t55,14:00:00,15:00:00,900,0
t57,14:00:00,15:00:00,900,0
t59,14:00:00,15:00:00,720,0
t63,14:00:00,15:00:00,900,0
t65,14:00:00,15:00:00,900,0
t67,14:00:00,15:00:00,600,0
t69,14:00:00,15:00:00,514,0
t73,14:00:00,15:00:00,450,0
t77,14:00:00,15:00:00,600,0
t83,14:00:00,15:00:00,1200,0
t87,14:00:00,15:00:00,720,0
t2,14:00:00,15:00:00,3600,0
t14,15:00:00,16:00:00,450,0
t17,15:00:00,16:00:00,720,0
t93,15:00:00,16:00:00,900,0
t21,15:00:00,16:00:00,1200,0
t23,15:00:00,16:00:00,900,0
t27,15:00:00,16:00:00,720,0
t29,15:00:00,16:00:00,1800,0
t33,15:00:00,16:00:00,720,0
t35,15:00:00,16:00:00,720,0
t38,15:00:00,16:00:00,720,0
t41,15:00:00,16:00:00,720,0
t43,15:00:00,16:00:00,1200,0
t55,15:00:00,16:00:00,900,0
t57,15:00:00,16:00:00,900,0
t59,15:00:00,16:00:00,720,0
t63,15:00:00,16:00:00,900,0
t65,15:00:00,16:00:00,900,0
t67,15:00:00,16:00:00,600,0
t69,15:00:00,16:00:00,600,0
t73,15:00:00,16:00:00,450,0
t77,15:00:00,16:00:00,600,0
t83,15:00:00,16:00:00,1200,0
t87,15:00:00,16:00:00,720,0
t2,15:00:00,16:00:00,3600,0
t14,16:00:00,17:00:00,450,0
t17,16:00:00,17:00:00,900,0
t93,16:00:00,17:00:00,1200,0
t21,16:00:00,17:00:00,900,0
t23,16:00:00,17:00:00,900,0
t27,16:00:00,17:00:00,720,0
t29,16:00:00,17:00:00,1800,0
t33,16:00:00,17:00:00,720,0
t35,16:00:00,17:00:00,720,0
t38,16:00:00,17:00:00,720,0
t41,16:00:00,17:00:00,720,0
t43,16:00:00,17:00:00,900,0
t55,16:00:00,17:00:00,900,0
t57,16:00:00,17:00:00,720,0
t59,16:00:00,17:00:00,600,0
t63,16:00:00,17:00:00,600,0
t65,16:00:00,17:00:00,720,0
t67,16:00:00,17:00:00,600,0
t69,16:00:00,17:00:00,450,0
t73,16:00:00,17:00:00,450,0
t77,16:00:00,17:00:00,600,0
t83,16:00:00,17:00:00,1200,0
t87,16:00:00,17:00:00,720,0
t2,16:00:00,17:00:00,3600,0
t14,17:00:00,18:00:00,600,0
t17,17:00:00,18:00:00,900,0
t93,17:00:00,18:00:00,900,0
t21,17:00:00,18:00:00,900,0
t23,17:00:00,18:00:00,720,0
t27,17:00:00,18:00:00,720,0
t29,17:00:00,18:00:00,1800,0
t33,17:00:00,18:00:00,600,0
t35,17:00:00,18:00:00,720,0
t38,17:00:00,18:00:00,720,0
t41,17:00:00,18:00:00,720,0
t43,17:00:00,18:00:00,720,0
t55,17:00:00,18:00:00,900,0
t57,17:00:00,18:00:00,600,0
t59,17:00:00,18:00:00,600,0
t63,17:00:00,18:00:00,600,0
t65,17:00:00,18:00:00,720,0
t67,17:00:00,18:00:00,600,0
t69,17:00:00,18:00:00,450,0
t73,17:00:00,18:00:00,514,0
t77,17:00:00,18:00:00,600,0
t83,17:00:00,18:00:00,1200,0
t87,17:00:00,18:00:00,600,0
t2,17:00:00,18:00:00,3600,0
t14,18:00:00,19:00:00,600,0
t17,18:00:00,19:00:00,1200,0
t93,18:00:00,19:00:00,1200,0
t21,18:00:00,19:00:00,900,0
t23,18:00:00,19:00:00,900,0
t27,18:00:00,19:00:00,900,0
t29,18:00:00,19:00:00,1800,0
t33,18:00:00,19:00:00,600,0
t35,18:00:00,19:00:00,720,0
t38,18:00:00,19:00:00,720,0
t41,18:00:00,19:00:00,720,0
t43,18:00:00,19:00:00,900,0
t55,18:00:00,19:00:00,900,0
t57,18:00:00,19:00:00,600,0
t59,18:00:00,19:00:00,600,0
t63,18:00:00,19:00:00,720,0
t65,18:00:00,19:00:00,720,0
t67,18:00:00,19:00:00,600,0
t69,18:00:00,19:00:00,600,0
t73,18:00:00,19:00:00,514,0
t77,18:00:00,19:00:00,600,0
t83,18:00:00,19:00:00,1200,0
t87,18:00:00,19:00:00,720,0
t2,18:00:00,19:00:00,3600,0
t14,19:00:00,20:00:00,600,0
t17,19:00:00,20:00:00,1800,0
t93,19:00:00,20:00:00,900,0
t21,19:00:00,20:00:00,900,0
t23,19:00:00,20:00:00,900,0
t27,19:00:00,20:00:00,900,0
t29,19:00:00,20:00:00,1800,0
t33,19:00:00,20:00:00,600,0
t35,19:00:00,20:00:00,720,0
t38,19:00:00,20:00:00,900,0
t41,19:00:00,20:00:00,720,0
t43,19:00:00,20:00:00,1200,0
t55,19:00:00,20:00:00,900,0
t57,19:00:00,20:00:00,720,0
t59,19:00:00,20:00:00,720,0
t63,19:00:00,20:00:00,720,0
t65,19:00:00,20:00:00,720,0
t67,19:00:00,20:00:00,600,0
t69,19:00:00,20:00:00,600,0
t73,19:00:00,20:00:00,514,0
t77,19:00:00,20:00:00,600,0
t83,19:00:00,20:00:00,1200,0
t87,19:00:00,20:00:00,720,0
t2,19:00:00,20:00:00,3600,0
t14,20:00:00,21:00:00,720,0
t17,20:00:00,21:00:00,1200,0
t93,20:00:00,21:00:00,1800,0
t21,20:00:00,21:00:00,900,0
t23,20:00:00,21:00:00,900,0
t27,20:00:00,21:00:00,900,0
t29,20:00:00,21:00:00,1800,0
t33,20:00:00,21:00:00,720,0
t35,20:00:00,21:00:00,900,0
t38,20:00:00,21:00:00,900,0
t41,20:00:00,21:00:00,720,0
t43,20:00:00,21:00:00,1200,0
